#C Ar 10keV Si
#IncidenceAngle	Yield
0.0	0.001
1.5	0.001
3.0	0.001
4.5	0.001
6.0	0.001
7.5	0.001
9.0	0.001
10.5	0.001
12.0	0.001
13.5	0.002
15.0	0.002
16.5	0.002
18.0	0.002
19.5	0.002
21.0	0.003
22.0	0.003
23.0	0.003
24.0	0.003
25.0	0.004
26.0	0.004
27.0	0.005
28.0	0.005
29.0	0.006
30.0	0.006
31.0	0.007
32.0	0.007
33.0	0.008
34.0	0.009
35.0	0.010
36.0	0.010
37.0	0.011
38.0	0.013
39.0	0.014
40.0	0.015
40.75	0.016
41.5	0.017
42.25	0.019
43.0	0.020
43.75	0.021
44.5	0.023
45.25	0.025
46.0	0.026
46.75	0.028
47.5	0.030
48.25	0.032
49.0	0.034
49.75	0.036
50.5	0.039
51.0	0.041
51.5	0.043
52.0	0.045
52.5	0.046
53.0	0.049
53.5	0.051
54.0	0.053
54.5	0.055
55.0	0.058
55.5	0.061
56.0	0.064
56.5	0.066
57.0	0.069
57.5	0.072
58.0	0.075
58.5	0.079
59.0	0.082
59.5	0.085
60.0	0.089
60.5	0.093
61.0	0.097
61.5	0.100
62.0	0.104
62.5	0.109
63.0	0.113
63.5	0.118
64.0	0.123
64.5	0.128
65.0	0.133
65.5	0.139
66.0	0.144
66.5	0.150
67.0	0.155
67.5	0.162
68.0	0.169
68.5	0.175
69.0	0.181
69.5	0.189
70.0	0.196
70.25	0.200
70.5	0.204
70.75	0.208
71.0	0.211
71.25	0.216
71.5	0.220
71.75	0.224
72.0	0.228
72.25	0.233
72.5	0.237
72.75	0.241
73.0	0.245
73.25	0.250
73.5	0.254
73.75	0.259
74.0	0.265
74.25	0.269
74.5	0.274
74.75	0.279
75.0	0.285
75.25	0.290
75.5	0.295
75.75	0.300
76.0	0.307
76.25	0.311
76.5	0.317
76.75	0.323
77.0	0.329
77.25	0.335
77.5	0.342
77.75	0.348
78.0	0.355
78.25	0.361
78.5	0.368
78.75	0.375
79.0	0.381
79.25	0.388
79.5	0.396
79.75	0.403
80.0	0.411
80.1	0.414
80.2	0.417
80.3	0.421
80.4	0.423
80.5	0.427
80.6	0.430
80.7	0.434
80.8	0.437
80.9	0.440
81.0	0.444
81.1	0.447
81.2	0.451
81.3	0.454
81.4	0.458
81.5	0.461
81.6	0.466
81.7	0.469
81.8	0.472
81.9	0.476
81.91	0.476
81.92	0.477
81.93	0.478
81.94	0.479
81.95	0.479
81.96	0.479
81.97	0.479
81.98	0.479
81.99	0.480
82.01	0.480
82.02	0.482
82.03	0.482
82.04	0.482
82.05	0.482
82.06	0.483
82.07	0.484
82.08	0.484
82.08	0.484
82.09	0.484
82.1	0.485
82.2	0.488
82.3	0.493
82.4	0.497
82.5	0.501
82.6	0.505
82.7	0.509
82.8	0.513
82.9	0.518
83.0	0.523
83.1	0.527
83.2	0.532
83.3	0.537
83.4	0.542
83.5	0.548
83.6	0.552
83.7	0.557
83.8	0.563
83.9	0.568
83.91	0.569
83.92	0.569
83.93	0.570
83.94	0.570
83.95	0.571
83.96	0.571
83.97	0.572
83.98	0.573
83.99	0.572
84.01	0.574
84.02	0.575
84.03	0.574
84.04	0.576
84.05	0.576
84.06	0.578
84.07	0.578
84.08	0.578
84.09	0.579
84.1	0.579
84.2	0.585
84.3	0.591
84.4	0.598
84.5	0.603
84.6	0.610
84.7	0.617
84.8	0.624
84.8	0.624
84.9	0.629
85.0	0.637
85.1	0.645
85.15	0.648
85.2	0.652
85.25	0.655
85.3	0.659
85.35	0.663
85.4	0.668
85.45	0.672
85.5	0.676
85.55	0.680
85.6	0.684
85.65	0.689
85.7	0.693
85.75	0.698
85.8	0.702
85.85	0.708
85.9	0.712
85.95	0.717
86.0	0.721
86.05	0.727
86.1	0.731
86.15	0.736
86.2	0.741
86.25	0.747
