#C Ga 30keV SiO2
#IncidenceAngle	Yield
0.0	0.0
1.5	0.0
3.0	0.0
4.5	0.0
6.0	0.0
7.5	0.0
9.0	0.0
10.5	0.0
12.0	0.0
13.5	0.0
15.0	0.0
16.5	0.0
18.0	0.0
19.5	0.0
21.0	0.0
22.0	0.0
23.0	0.0
24.0	0.0
25.0	0.0
26.0	0.0
27.0	0.0
28.0	0.0
29.0	0.0
30.0	0.0
31.0	0.0
32.0	0.0
33.0	0.0
34.0	0.0
35.0	0.0
36.0	0.0
37.0	0.001
38.0	0.001
39.0	0.001
40.0	0.001
40.75	0.001
41.5	0.001
42.25	0.001
43.0	0.001
43.75	0.002
44.5	0.002
45.25	0.002
46.0	0.003
46.75	0.003
47.5	0.003
48.25	0.004
49.0	0.004
49.75	0.005
50.5	0.005
51.0	0.006
51.5	0.006
52.0	0.007
52.5	0.007
53.0	0.008
53.5	0.009
54.0	0.009
54.5	0.01
55.0	0.011
55.5	0.012
56.0	0.013
56.5	0.014
57.0	0.015
57.5	0.016
58.0	0.018
58.5	0.019
59.0	0.021
59.5	0.022
60.0	0.024
60.5	0.026
61.0	0.028
61.5	0.03
62.0	0.033
62.5	0.035
63.0	0.037
63.5	0.04
64.0	0.043
64.5	0.046
65.0	0.049
65.5	0.053
66.0	0.057
66.5	0.061
67.0	0.065
67.5	0.07
68.0	0.074
68.5	0.079
69.0	0.085
69.5	0.091
70.0	0.097
70.25	0.1
70.5	0.103
70.75	0.106
71.0	0.11
71.25	0.113
71.5	0.117
71.75	0.121
72.0	0.125
72.25	0.129
72.5	0.132
72.75	0.137
73.0	0.141
73.25	0.145
73.5	0.15
73.75	0.155
74.0	0.159
74.25	0.164
74.5	0.169
74.75	0.173
75.0	0.179
75.25	0.184
75.5	0.189
75.75	0.195
76.0	0.2
76.25	0.206
76.5	0.212
76.75	0.218
77.0	0.225
77.25	0.231
77.5	0.238
77.75	0.245
78.0	0.251
78.25	0.259
78.5	0.266
78.75	0.273
79.0	0.28
79.25	0.289
79.5	0.297
79.75	0.305
80.1	0.318
80.2	0.321
80.3	0.324
80.4	0.327
80.5	0.331
80.6	0.335
80.7	0.338
80.8	0.342
80.8	0.342
80.9	0.346
81.0	0.35
81.1	0.353
81.2	0.357
81.3	0.362
81.4	0.365
81.5	0.369
81.6	0.373
81.7	0.378
81.8	0.381
81.9	0.386
82.0	0.39
82.1	0.394
82.2	0.399
82.3	0.403
82.4	0.408
82.5	0.412
82.6	0.416
82.7	0.421
82.8	0.425
82.9	0.431
83.1	0.441
83.2	0.446
83.3	0.451
83.4	0.456
83.5	0.461
83.6	0.466
83.7	0.472
83.8	0.477
83.8	0.477
83.9	0.485
84.0	0.488
84.1	0.495
84.2	0.502
84.3	0.507
84.4	0.514
84.5	0.521
84.6	0.527
84.7	0.534
84.8	0.541
84.9	0.548
85.0	0.555
85.1	0.563
85.15	0.567
85.2	0.57
85.25	0.575
85.3	0.579
85.35	0.582
85.4	0.587
85.45	0.591
85.5	0.595
85.55	0.599
85.6	0.603
85.65	0.608
85.7	0.612
85.75	0.617
85.8	0.622
85.85	0.627
85.9	0.632
85.95	0.637
86.05	0.647
86.1	0.652
86.15	0.658
86.2	0.663
86.25	0.668
86.3	0.674
86.35	0.68
86.4	0.685
86.4	0.685
86.45	0.691
86.5	0.698
86.55	0.704
86.6	0.71
86.65	0.717
86.7	0.723
86.75	0.729
86.8	0.737
86.85	0.744
86.9	0.75
86.95	0.758
87.0	0.766
87.05	0.773
87.1	0.781
87.15	0.789
87.2	0.796
87.25	0.805
87.3	0.813
87.35	0.822
87.4	0.83
87.45	0.839
87.5	0.846
87.55	0.856
87.6	0.865
87.65	0.873
87.7	0.882
87.75	0.89
87.8	0.899
87.85	0.907
87.9	0.915
87.95	0.924
88.0	0.932
88.05	0.939
88.1	0.946
88.15	0.953
88.2	0.959
88.25	0.965
88.3	0.971
88.35	0.976
88.4	0.981
88.45	0.984
88.5	0.988
88.55	0.991
88.6	0.993
88.65	0.995
88.7	0.997
88.75	0.998
88.8	0.999
88.85	0.999
88.9	0.999
88.95	1.0
89.0	1.0
89.05	1.0
89.1	1.0
89.15	1.0
89.2	1.0
89.25	1.0
89.3	1.0
89.35	1.0
89.4	1.0
89.45	1.0
89.5	1.0
89.55	1.0
89.6	1.0
89.65	1.0
89.7	1.0
89.75	1.0
89.8	1.0
89.85	1.0
89.9	1.0
89.95	1.0
