#C Ga 10keV Si
#IncidenceAngle	Yield
0.0	0.0
1.5	0.0
3.0	0.0
4.5	0.0
6.0	0.0
7.5	0.0
9.0	0.0
10.5	0.0
12.0	0.0
13.5	0.0
15.0	0.0
16.5	0.0
18.0	0.0
19.5	0.0
21.0	0.0
22.0	0.0
23.0	0.0
24.0	0.0
25.0	0.0
26.0	0.001
27.0	0.001
28.0	0.001
29.0	0.001
30.0	0.001
31.0	0.001
32.0	0.001
33.0	0.001
34.0	0.002
35.0	0.002
36.0	0.002
37.0	0.002
38.0	0.003
39.0	0.003
40.0	0.004
40.75	0.004
41.5	0.005
42.25	0.005
43.0	0.006
43.75	0.006
44.5	0.007
45.25	0.008
46.0	0.008
46.75	0.009
47.5	0.01
48.25	0.011
49.0	0.012
49.75	0.014
50.5	0.015
51.0	0.016
51.5	0.017
52.0	0.018
52.5	0.019
53.0	0.021
53.5	0.022
54.0	0.024
54.5	0.025
55.0	0.027
55.5	0.028
56.0	0.03
56.5	0.032
57.0	0.034
57.5	0.036
58.0	0.038
58.5	0.041
59.0	0.043
59.5	0.046
60.0	0.049
60.5	0.052
61.0	0.055
61.5	0.058
62.0	0.061
62.5	0.065
63.0	0.069
63.5	0.072
64.0	0.077
64.5	0.082
65.0	0.086
65.5	0.091
66.0	0.096
66.5	0.101
67.0	0.107
67.5	0.113
68.0	0.12
68.5	0.126
69.0	0.133
69.5	0.139
70.0	0.147
70.25	0.151
70.5	0.155
70.75	0.159
71.0	0.163
71.25	0.167
71.5	0.172
71.75	0.176
72.0	0.181
72.25	0.186
72.5	0.189
72.75	0.195
73.0	0.199
73.25	0.205
73.5	0.209
73.75	0.215
74.0	0.22
74.25	0.226
74.5	0.231
74.75	0.237
75.0	0.243
75.25	0.249
75.5	0.254
75.75	0.261
76.0	0.267
76.25	0.274
76.5	0.28
76.75	0.288
77.0	0.295
77.25	0.302
77.5	0.31
77.75	0.316
78.0	0.325
78.25	0.332
78.5	0.339
78.75	0.348
79.0	0.357
79.25	0.365
79.5	0.374
79.75	0.383
80.1	0.396
80.2	0.401
80.3	0.404
80.4	0.408
80.5	0.412
80.6	0.416
80.7	0.421
80.8	0.425
80.8	0.425
80.9	0.428
81.0	0.433
81.1	0.437
81.2	0.442
81.3	0.446
81.4	0.451
81.5	0.455
81.6	0.46
81.7	0.464
81.8	0.468
81.9	0.474
82.0	0.479
82.1	0.484
82.2	0.488
82.3	0.494
82.4	0.499
82.5	0.505
82.6	0.51
82.7	0.515
82.8	0.52
82.9	0.527
83.0	0.532
83.1	0.538
83.2	0.544
83.3	0.55
83.4	0.556
83.5	0.563
83.6	0.569
83.7	0.577
83.8	0.582
83.9	0.589
84.1	0.602
84.2	0.611
84.3	0.618
84.4	0.625
84.5	0.633
84.6	0.641
84.7	0.649
84.8	0.658
84.8	0.658
84.9	0.667
85.1	0.685
85.15	0.689
85.2	0.694
85.25	0.698
85.3	0.703
85.35	0.708
85.4	0.712
85.45	0.717
85.45	0.717
85.5	0.722
85.55	0.727
85.6	0.733
85.65	0.737
85.7	0.742
85.75	0.748
85.8	0.753
85.85	0.757
85.9	0.764
85.95	0.769
86.05	0.78
86.1	0.786
86.15	0.791
86.2	0.797
86.25	0.802
86.3	0.808
86.35	0.814
86.4	0.82
86.4	0.82
86.45	0.826
86.5	0.831
86.55	0.837
86.6	0.843
86.65	0.849
86.7	0.855
86.75	0.861
86.8	0.867
86.85	0.873
86.9	0.878
86.95	0.884
87.0	0.89
87.05	0.895
87.1	0.901
87.15	0.906
87.2	0.912
87.25	0.917
87.3	0.923
87.35	0.928
87.4	0.933
87.45	0.938
87.5	0.942
87.55	0.947
87.6	0.952
87.65	0.956
87.7	0.96
87.75	0.964
87.8	0.968
87.85	0.971
87.9	0.974
87.95	0.977
88.05	0.983
88.1	0.985
88.15	0.987
88.2	0.989
88.25	0.991
88.3	0.992
88.35	0.994
88.4	0.995
88.4	0.995
88.45	0.996
88.5	0.997
88.55	0.997
88.6	0.998
88.65	0.998
88.7	0.999
88.75	0.999
88.8	0.999
88.85	0.999
88.9	1.0
88.95	1.0
89.05	1.0
89.1	1.0
89.15	1.0
89.2	1.0
89.25	1.0
89.3	1.0
89.35	1.0
89.4	1.0
89.45	1.0
89.5	1.0
89.55	1.0
89.6	1.0
89.65	1.0
89.7	1.0
89.75	1.0
89.8	1.0
89.8	1.0
89.85	1.0
89.9	1.0
89.95	1.0
