#C Xe 50keV Si
#IncidenceAngle	Yield
0.0	0.0
1.5	0.0
3.0	0.0
4.5	0.0
6.0	0.0
7.5	0.0
9.0	0.0
10.5	0.0
12.0	0.0
13.5	0.0
15.0	0.0
16.5	0.0
18.0	0.0
19.5	0.0
21.0	0.0
22.0	0.0
23.0	0.0
24.0	0.0
25.0	0.0
26.0	0.0
27.0	0.0
28.0	0.0
29.0	0.0
30.0	0.0
31.0	0.0
32.0	0.0
33.0	0.0
34.0	0.0
35.0	0.0
36.0	0.0
37.0	0.0
38.0	0.0
39.0	0.0
40.0	0.0
40.75	0.0
41.5	0.0
42.25	0.0
43.0	0.0
43.75	0.0
44.5	0.0
45.25	0.0
46.0	0.0
46.75	0.001
47.5	0.001
48.25	0.001
49.0	0.001
49.75	0.001
50.5	0.001
51.0	0.001
51.5	0.002
52.0	0.002
52.5	0.002
53.0	0.002
53.5	0.003
54.0	0.003
54.5	0.003
55.0	0.004
55.5	0.004
56.0	0.004
56.5	0.005
57.0	0.005
57.5	0.006
58.0	0.007
58.5	0.007
59.0	0.008
59.5	0.009
60.0	0.01
60.5	0.011
61.0	0.012
61.5	0.014
62.0	0.015
62.5	0.017
63.0	0.018
63.5	0.02
64.0	0.022
64.5	0.024
65.0	0.026
65.5	0.029
66.0	0.032
66.5	0.034
67.0	0.037
67.5	0.041
68.0	0.044
68.5	0.048
69.0	0.053
69.5	0.057
70.0	0.062
70.25	0.065
70.5	0.067
70.75	0.07
71.0	0.073
71.25	0.076
71.5	0.079
71.75	0.083
72.0	0.085
72.25	0.089
72.5	0.092
72.75	0.096
73.0	0.1
73.25	0.104
73.5	0.107
73.75	0.111
74.0	0.116
74.25	0.12
74.5	0.125
74.75	0.129
75.0	0.134
75.25	0.139
75.5	0.144
75.75	0.149
76.0	0.155
76.25	0.16
76.5	0.166
76.75	0.172
77.0	0.178
77.25	0.184
77.5	0.191
77.75	0.198
78.0	0.204
78.25	0.211
78.5	0.219
78.75	0.226
79.0	0.234
79.25	0.242
79.5	0.25
79.75	0.258
80.1	0.271
80.2	0.274
80.3	0.278
80.4	0.281
80.5	0.285
80.6	0.289
80.7	0.292
80.8	0.296
80.8	0.296
80.9	0.3
81.0	0.304
81.1	0.308
81.2	0.312
81.3	0.317
81.4	0.321
81.5	0.325
81.6	0.328
81.7	0.333
81.8	0.337
81.9	0.342
82.0	0.346
82.1	0.351
82.2	0.355
82.3	0.359
82.4	0.365
82.5	0.368
82.6	0.374
82.7	0.378
82.8	0.384
82.9	0.388
83.0	0.393
83.1	0.399
83.2	0.403
83.3	0.409
83.4	0.414
83.5	0.419
83.6	0.424
83.7	0.43
83.8	0.436
83.9	0.442
84.1	0.454
84.2	0.461
84.3	0.466
84.4	0.473
84.5	0.479
84.6	0.485
84.7	0.491
84.8	0.499
84.8	0.499
84.9	0.507
85.1	0.521
85.15	0.524
85.2	0.528
85.25	0.531
85.3	0.535
85.35	0.54
85.4	0.543
85.45	0.547
85.45	0.547
85.5	0.552
85.55	0.555
85.6	0.56
85.65	0.564
85.7	0.568
85.75	0.573
85.8	0.577
85.85	0.582
85.9	0.586
85.95	0.59
86.05	0.601
86.1	0.606
86.15	0.611
86.2	0.615
86.25	0.62
86.3	0.625
86.35	0.631
86.4	0.635
86.4	0.635
86.45	0.641
86.5	0.647
86.55	0.653
86.6	0.659
86.65	0.665
86.7	0.671
86.75	0.677
86.8	0.682
86.85	0.69
86.9	0.696
86.95	0.703
87.05	0.716
87.1	0.724
87.15	0.731
87.2	0.738
87.25	0.746
87.3	0.755
87.35	0.761
87.4	0.77
87.4	0.77
87.45	0.778
87.5	0.787
87.55	0.795
87.6	0.803
87.65	0.812
87.7	0.822
87.75	0.831
87.8	0.84
87.85	0.849
87.9	0.858
87.95	0.867
88.05	0.886
88.1	0.895
88.15	0.904
88.2	0.913
88.25	0.922
88.3	0.931
88.35	0.939
88.4	0.947
88.45	0.954
88.5	0.961
88.55	0.968
88.6	0.973
88.65	0.979
88.7	0.983
88.75	0.987
88.8	0.991
88.8	0.991
88.85	0.993
88.9	0.995
88.95	0.997
89.05	0.999
89.1	0.999
89.15	1.0
89.2	1.0
89.25	1.0
89.3	1.0
89.35	1.0
89.4	0.999
89.45	0.999
89.5	0.999
89.55	0.998
89.6	0.998
89.65	0.997
89.7	0.996
89.75	0.995
89.8	0.994
89.8	0.994
89.85	0.994
89.9	0.993
89.95	0.992
