#C Ar 30keV Si
#IncidenceAngle	Yield
0.0	1.61
1.5	1.61
3.0	1.616
4.5	1.628
6.0	1.632
7.5	1.652
9.0	1.67
10.5	1.692
12.0	1.712
13.5	1.744
15.0	1.775
16.5	1.82
18.0	1.853
19.5	1.901
21.0	1.946
22.0	1.985
23.0	2.021
24.0	2.061
25.0	2.106
26.0	2.147
27.0	2.196
28.0	2.239
29.0	2.305
30.0	2.348
31.0	2.405
32.0	2.464
33.0	2.531
34.0	2.599
35.0	2.675
36.0	2.747
37.0	2.822
38.0	2.907
39.0	3.0
40.0	3.09
40.75	3.159
41.5	3.229
42.25	3.309
43.0	3.39
43.75	3.471
44.5	3.561
45.25	3.652
46.0	3.747
46.75	3.847
47.5	3.941
48.25	4.051
49.0	4.17
49.75	4.279
50.5	4.397
51.0	4.482
51.5	4.573
52.0	4.646
52.5	4.742
53.0	4.828
53.5	4.933
54.0	5.029
54.5	5.118
55.0	5.218
55.5	5.321
56.0	5.435
56.5	5.538
57.0	5.653
57.5	5.762
58.0	5.882
58.5	5.997
59.0	6.133
59.5	6.246
60.0	6.378
60.5	6.508
61.0	6.641
61.5	6.778
62.0	6.926
62.5	7.06
63.0	7.212
63.5	7.367
64.0	7.52
64.5	7.679
65.0	7.823
65.5	7.982
66.0	8.163
66.5	8.339
67.0	8.499
67.5	8.674
68.0	8.846
68.5	9.027
69.0	9.196
69.5	9.398
70.0	9.576
70.25	9.661
70.5	9.761
70.75	9.848
71.0	9.957
71.25	10.05
71.5	10.145
71.75	10.235
72.0	10.326
72.25	10.427
72.5	10.521
72.75	10.62
73.0	10.717
73.25	10.822
73.5	10.912
73.75	10.992
74.0	11.102
74.25	11.199
74.5	11.297
74.75	11.384
75.0	11.481
75.25	11.575
75.5	11.672
75.75	11.751
76.0	11.839
76.25	11.942
76.5	12.029
76.75	12.108
77.0	12.201
77.25	12.28
77.5	12.365
77.75	12.443
78.0	12.544
78.25	12.609
78.5	12.671
78.75	12.744
79.0	12.826
79.25	12.887
79.5	12.932
79.75	13.01
80.1	13.086
80.2	13.085
80.3	13.121
80.4	13.13
80.5	13.15
80.6	13.17
80.7	13.182
80.8	13.192
80.8	13.192
80.9	13.212
81.0	13.212
81.1	13.24
81.2	13.256
81.3	13.25
81.4	13.267
81.5	13.278
81.6	13.279
81.7	13.299
81.8	13.299
81.9	13.297
82.1	13.296
82.2	13.293
82.3	13.286
82.4	13.284
82.5	13.284
82.6	13.281
82.7	13.276
82.8	13.269
82.8	13.269
82.9	13.247
83.0	13.235
83.1	13.228
83.2	13.218
83.3	13.188
83.4	13.172
83.5	13.152
83.6	13.115
83.7	13.087
83.8	13.069
83.9	13.017
84.1	12.949
84.2	12.901
84.3	12.864
84.4	12.813
84.5	12.762
84.6	12.71
84.7	12.645
84.8	12.588
84.8	12.588
84.9	12.518
85.0	12.457
85.1	12.369
85.15	12.338
85.2	12.291
85.25	12.257
85.3	12.203
85.35	12.168
85.4	12.122
85.45	12.079
85.5	12.028
85.55	11.975
85.6	11.927
85.65	11.861
85.7	11.806
85.75	11.758
85.8	11.688
85.85	11.632
85.9	11.559
85.95	11.501
86.05	11.376
86.1	11.299
86.15	11.234
86.2	11.154
86.25	11.055
86.3	10.981
86.35	10.907
86.4	10.815
86.4	10.815
86.45	10.735
86.5	10.627
86.55	10.54
86.6	10.448
86.65	10.339
86.7	10.225
86.75	10.111
86.8	10.015
86.85	9.893
86.9	9.764
86.95	9.643
87.05	9.383
87.1	9.239
87.15	9.083
87.2	8.946
87.25	8.784
87.3	8.629
87.35	8.457
87.4	8.29
87.4	8.29
87.45	8.096
87.5	7.914
87.55	7.707
87.6	7.52
87.65	7.312
87.7	7.098
87.75	6.885
87.8	6.645
87.85	6.407
87.9	6.153
87.95	5.896
88.05	5.357
88.1	5.099
88.15	4.821
88.2	4.52
88.25	4.236
88.3	3.931
88.35	3.632
88.4	3.341
88.4	3.341
88.45	3.044
88.5	2.752
88.55	2.465
88.6	2.171
88.65	1.906
88.7	1.648
88.75	1.403
88.8	1.176
88.85	0.965
88.9	0.781
88.95	0.625
89.05	0.367
89.1	0.272
89.15	0.196
89.2	0.139
89.25	0.095
89.3	0.065
89.35	0.042
89.4	0.028
89.4	0.028
89.45	0.017
89.5	0.011
89.55	0.007
89.6	0.005
89.65	0.003
89.7	0.002
89.75	0.001
89.8	0.001
89.85	0.001
89.9	0.001
89.95	0.001
