#C Ga 10keV Si
#IncidenceAngle	Yield
0.0	2.072
1.5	2.071
3.0	2.086
4.5	2.094
6.0	2.109
7.5	2.132
9.0	2.162
10.5	2.192
12.0	2.227
13.5	2.269
15.0	2.317
16.5	2.365
18.0	2.422
19.5	2.485
21.0	2.548
22.0	2.6
23.0	2.652
24.0	2.707
25.0	2.759
26.0	2.826
27.0	2.89
28.0	2.956
29.0	3.022
30.0	3.098
31.0	3.174
32.0	3.253
33.0	3.342
34.0	3.436
35.0	3.525
36.0	3.621
37.0	3.722
38.0	3.825
39.0	3.942
40.0	4.061
40.75	4.145
41.5	4.238
42.25	4.34
43.0	4.44
43.75	4.554
44.5	4.654
45.25	4.766
46.0	4.877
46.75	5.005
47.5	5.137
48.25	5.254
49.0	5.391
49.75	5.535
50.5	5.674
51.0	5.773
51.5	5.874
52.0	5.973
52.5	6.07
53.0	6.18
53.5	6.292
54.0	6.412
54.5	6.526
55.0	6.64
55.5	6.749
56.0	6.876
56.5	6.997
57.0	7.13
57.5	7.249
58.0	7.38
58.5	7.528
59.0	7.652
59.5	7.786
60.0	7.923
60.5	8.072
61.0	8.216
61.5	8.36
62.0	8.504
62.5	8.655
63.0	8.813
63.5	8.966
64.0	9.121
64.5	9.276
65.0	9.426
65.5	9.594
66.0	9.752
66.5	9.911
67.0	10.068
67.5	10.231
68.0	10.388
68.5	10.546
69.0	10.701
69.5	10.862
70.0	11.006
70.25	11.082
70.5	11.156
70.75	11.236
71.0	11.309
71.25	11.378
71.5	11.444
71.75	11.523
72.0	11.587
72.25	11.645
72.5	11.725
72.75	11.783
73.0	11.855
73.25	11.905
73.5	11.982
73.75	12.025
74.0	12.089
74.25	12.129
74.5	12.189
74.75	12.234
75.0	12.286
75.25	12.329
75.5	12.371
75.75	12.4
76.0	12.454
76.25	12.48
76.5	12.504
76.75	12.522
77.0	12.548
77.25	12.555
77.5	12.565
77.75	12.584
78.0	12.58
78.25	12.582
78.5	12.57
78.75	12.554
79.0	12.529
79.25	12.505
79.5	12.475
79.75	12.433
80.1	12.348
80.2	12.336
80.3	12.32
80.4	12.294
80.5	12.263
80.6	12.226
80.7	12.196
80.8	12.154
80.8	12.154
80.9	12.131
81.0	12.094
81.1	12.044
81.2	12.022
81.3	11.975
81.4	11.936
81.5	11.887
81.6	11.831
81.7	11.785
81.8	11.741
81.9	11.692
82.0	11.622
82.1	11.572
82.2	11.515
82.3	11.454
82.4	11.388
82.5	11.309
82.6	11.237
82.7	11.164
82.8	11.104
82.9	11.014
83.0	10.923
83.1	10.832
83.2	10.76
83.3	10.65
83.4	10.56
83.5	10.464
83.6	10.352
83.7	10.238
83.8	10.132
83.9	10.016
84.1	9.784
84.2	9.643
84.3	9.506
84.4	9.367
84.5	9.22
84.6	9.085
84.7	8.923
84.8	8.744
84.8	8.744
84.9	8.574
85.1	8.223
85.15	8.131
85.2	8.028
85.25	7.933
85.3	7.841
85.35	7.739
85.4	7.644
85.45	7.535
85.45	7.535
85.5	7.424
85.55	7.33
85.6	7.209
85.65	7.115
85.7	7.011
85.75	6.879
85.8	6.768
85.85	6.655
85.9	6.529
85.95	6.407
86.05	6.161
86.1	6.038
86.15	5.913
86.2	5.779
86.25	5.657
86.3	5.51
86.35	5.379
86.4	5.238
86.4	5.238
86.45	5.109
86.5	4.969
86.55	4.823
86.6	4.679
86.65	4.546
86.7	4.404
86.75	4.257
86.8	4.108
86.85	3.965
86.9	3.825
86.95	3.675
87.0	3.524
87.05	3.38
87.1	3.23
87.15	3.094
87.2	2.944
87.25	2.799
87.3	2.651
87.35	2.517
87.4	2.381
87.45	2.245
87.5	2.11
87.55	1.98
87.6	1.845
87.65	1.725
87.7	1.602
87.75	1.477
87.8	1.368
87.85	1.259
87.9	1.154
87.95	1.049
88.05	0.869
88.1	0.78
88.15	0.702
88.2	0.631
88.25	0.559
88.3	0.493
88.35	0.436
88.4	0.384
88.4	0.384
88.45	0.336
88.5	0.289
88.55	0.253
88.6	0.218
88.65	0.189
88.7	0.162
88.75	0.137
88.8	0.116
88.85	0.099
88.9	0.084
88.95	0.07
89.05	0.049
89.1	0.041
89.15	0.035
89.2	0.029
89.25	0.024
89.3	0.02
89.35	0.017
89.4	0.015
89.45	0.013
89.5	0.011
89.55	0.01
89.6	0.009
89.65	0.008
89.7	0.007
89.75	0.006
89.8	0.006
89.8	0.006
89.85	0.005
89.9	0.005
89.95	0.005
