#C Xe 50keV Si
#IncidenceAngle	Yield
0.0	3.855
1.5	3.858
3.0	3.87
4.5	3.889
6.0	3.916
7.5	3.955
9.0	4.001
10.5	4.056
12.0	4.111
13.5	4.186
15.0	4.265
16.5	4.347
18.0	4.441
19.5	4.547
21.0	4.657
22.0	4.748
23.0	4.837
24.0	4.928
25.0	5.024
26.0	5.126
27.0	5.229
28.0	5.328
29.0	5.454
30.0	5.576
31.0	5.695
32.0	5.834
33.0	5.975
34.0	6.113
35.0	6.268
36.0	6.436
37.0	6.586
38.0	6.763
39.0	6.947
40.0	7.14
40.75	7.286
41.5	7.443
42.25	7.593
43.0	7.76
43.75	7.933
44.5	8.104
45.25	8.289
46.0	8.478
46.75	8.681
47.5	8.877
48.25	9.086
49.0	9.312
49.75	9.544
50.5	9.78
51.0	9.937
51.5	10.12
52.0	10.302
52.5	10.471
53.0	10.656
53.5	10.845
54.0	11.049
54.5	11.248
55.0	11.448
55.5	11.676
56.0	11.879
56.5	12.115
57.0	12.34
57.5	12.587
58.0	12.839
58.5	13.092
59.0	13.371
59.5	13.64
60.0	13.92
60.5	14.214
61.0	14.524
61.5	14.83
62.0	15.156
62.5	15.484
63.0	15.844
63.5	16.177
64.0	16.558
64.5	16.927
65.0	17.327
65.5	17.728
66.0	18.145
66.5	18.565
67.0	19.013
67.5	19.478
68.0	19.915
68.5	20.383
69.0	20.887
69.5	21.403
70.0	21.922
70.25	22.166
70.5	22.436
70.75	22.711
71.0	22.975
71.25	23.243
71.5	23.506
71.75	23.779
72.0	24.056
72.25	24.337
72.5	24.639
72.75	24.913
73.0	25.183
73.25	25.47
73.5	25.753
73.75	26.038
74.0	26.341
74.25	26.602
74.5	26.899
74.75	27.178
75.0	27.465
75.25	27.747
75.5	27.992
75.75	28.294
76.0	28.6
76.25	28.832
76.5	29.117
76.75	29.377
77.0	29.623
77.25	29.878
77.5	30.115
77.75	30.347
78.0	30.591
78.25	30.813
78.5	31.003
78.75	31.229
79.0	31.405
79.25	31.578
79.5	31.757
79.75	31.92
80.1	32.094
80.2	32.141
80.3	32.195
80.4	32.225
80.5	32.292
80.6	32.31
80.7	32.337
80.8	32.378
80.8	32.378
80.9	32.427
81.0	32.435
81.1	32.449
81.2	32.482
81.3	32.468
81.4	32.502
81.5	32.495
81.6	32.517
81.7	32.507
81.8	32.535
81.9	32.449
82.0	32.468
82.1	32.424
82.2	32.464
82.3	32.38
82.4	32.372
82.5	32.338
82.6	32.267
82.7	32.229
82.8	32.191
82.9	32.096
83.0	32.034
83.1	31.98
83.2	31.917
83.3	31.803
83.4	31.721
83.5	31.632
83.6	31.53
83.7	31.391
83.8	31.239
83.9	31.14
84.1	30.834
84.2	30.676
84.3	30.523
84.4	30.326
84.5	30.139
84.6	29.983
84.7	29.759
84.8	29.522
84.8	29.522
84.9	29.278
85.1	28.755
85.15	28.648
85.2	28.469
85.25	28.364
85.3	28.215
85.35	28.015
85.4	27.911
85.45	27.713
85.45	27.713
85.5	27.553
85.55	27.394
85.6	27.199
85.65	27.021
85.7	26.846
85.75	26.665
85.8	26.447
85.85	26.246
85.9	26.052
85.95	25.844
86.05	25.382
86.1	25.173
86.15	24.916
86.2	24.701
86.25	24.441
86.3	24.184
86.35	23.905
86.4	23.64
86.4	23.64
86.45	23.377
86.5	23.086
86.55	22.776
86.6	22.47
86.65	22.129
86.7	21.812
86.75	21.481
86.8	21.17
86.85	20.802
86.9	20.448
86.95	20.072
87.05	19.305
87.1	18.861
87.15	18.487
87.2	18.052
87.25	17.611
87.3	17.139
87.35	16.697
87.4	16.193
87.4	16.193
87.45	15.714
87.5	15.183
87.55	14.689
87.6	14.157
87.65	13.634
87.7	13.06
87.75	12.515
87.8	11.915
87.85	11.376
87.9	10.765
87.95	10.184
88.05	8.976
88.1	8.381
88.15	7.77
88.2	7.165
88.25	6.555
88.3	5.977
88.35	5.43
88.4	4.863
88.45	4.327
88.5	3.812
88.55	3.323
88.6	2.87
88.65	2.446
88.7	2.064
88.75	1.718
88.8	1.412
88.8	1.412
88.85	1.147
88.9	0.913
88.95	0.721
89.05	0.435
89.1	0.329
89.15	0.246
89.2	0.181
89.25	0.132
89.3	0.093
89.35	0.065
89.4	0.044
89.45	0.029
89.5	0.019
89.55	0.012
89.6	0.008
89.65	0.005
89.7	0.004
89.75	0.004
89.8	0.004
89.8	0.004
89.85	0.004
89.9	0.004
89.95	0.004
